Country Name,Country Code,Series Name,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Albania,ALB,Military expenditure (% of GDP),1.743991677,1.210983436,1.242988084,1.295835703,1.280805962,1.160544785,1.109151006,1.103581009,1.162303864,1.346515991,1.408982101,1.487082577,1.528266338,1.558591893,1.51721714,1.984868857,1.820765344,1.567769089,1.350004971,1.381157942,1.336842924,1.320034494,1.309291375,1.246360242,1.249210099,1.238242561,1.28308078,1.379029627,2.053587359,2.54781906,3.199451067,4.670887824,5.791270422,5.88830072
Albania,ALB,Arms imports (SIPRI trend indicator values),,,,1000000,5000000,2000000,2000000,,7000000,7000000,7000000,15000000,,,,,5000000,,7000000,,2000000,,,,,,,,26000000,,,,,
Albania,ALB,Arms exports (SIPRI trend indicator values),,,,,,,,,,,,,1000000,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,"Government expenditure on education, total (% of government expenditure)",,,9.833778381,10.1343832,11.40017986,10.97069645,10.57019043,10.82978725,10.44102383,10.98846054,11.58003235,11.62699509,11.10684299,11.48573399,,10.79070854,11.07501793,10.7679863,11.3716507,,,,,,,,,,,,,,,
Albania,ALB,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,"Net ODA provided, total (constant 2021 US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,Domestic general government health expenditure (% of GDP),,,2.88419509,2.99610233,2.92877913,2.87454414,2.77448845,2.88150787,2.70778155,2.5936265,2.57773447,2.45518541,2.39800286,2.37870526,2.35850596,2.30050445,2.74834085,2.63711214,2.68723226,2.82082701,2.67035341,2.58866954,2.75327635,2.76583052,,,,,,,,,,
Albania,ALB,Domestic general government health expenditure (% of general government expenditure),,,9.14114666,9.18517017,10.07303905,9.88601398,9.51418209,9.88866711,8.80356598,8.17427826,8.83006287,8.69734573,8.29091167,8.09451294,7.21709204,7.25106478,9.37710953,9.0339222,9.30094719,9.35447502,8.99717617,8.20897484,8.42368317,8.17372704,,,,,,,,,,
Algeria,DZA,Military expenditure (% of general government expenditure),19.33568016,12.67231917,15.02495609,15.69404564,14.35874208,13.59987109,14.64090221,15.20392043,13.56559584,13.43774161,13.21872859,10.25672921,10.50590407,9.090979616,8.757450616,7.686151793,8.364512428,9.029651978,9.81309695,11.25767264,11.11028699,10.50886831,12.10219481,12.00498597,11.72222651,12.7172306,11.75143107,10.60394719,9.354305425,9.368375328,7.086078862,6.990371523,4.044086313,5.784061697
Algeria,DZA,Military expenditure (% of GDP),8.171720557,4.695022193,5.570828785,6.65871083,5.999941464,5.483588701,5.924383327,6.384928983,6.270242856,5.548483336,4.844508917,4.46107862,4.325697443,3.518023197,3.848515527,3.024746182,2.923322162,2.643808846,2.834170854,3.283895204,3.251223274,3.700804811,3.820704502,3.433393961,3.755079983,3.965673788,3.637403468,3.094088396,2.935027107,3.146430012,2.505631577,2.14013213,1.210834059,1.461070586
Algeria,DZA,Arms imports (SIPRI trend indicator values),355000000,313000000,162000000,600000000,167000000,1287000000,1136000000,2914000000,896000000,716000000,361000000,662000000,1133000000,831000000,1063000000,1510000000,507000000,340000000,159000000,251000000,204000000,252000000,539000000,405000000,370000000,98000000,37000000,83000000,311000000,197000000,22000000,23000000,1035000000,733000000
Algeria,DZA,Arms exports (SIPRI trend indicator values),,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,"Government expenditure on education, total (% of government expenditure)",13.26102352,13.10150623,16.05069733,16.54917145,16.02175903,15.61973667,17.55607224,16.11104393,16.08455467,16.46920204,17.64603424,15.98372555,17.56471634,17.76915741,,11.02075958,,,,,,,,,,,,,,,,,,
Algeria,DZA,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,"Net ODA provided, total (constant 2021 US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,Domestic general government health expenditure (% of GDP),,,3.2677834,3.74658775,3.68985248,4.27650404,4.36111259,4.45400095,4.90172052,4.71454287,4.28830338,4.37614059,3.71975923,3.55552173,3.79895926,3.02516317,2.66687727,2.29699397,2.24167132,2.52882004,2.7617898,2.8079257,2.9254992,2.51082778,,,,,,,,,,
Algeria,DZA,Domestic general government health expenditure (% of general government expenditure),,,8.82444,8.83036137,8.83036137,10.60616875,10.60604,10.60594082,10.60481071,11.41803741,11.70106602,10.06144714,9.03425121,9.18787575,8.64468479,7.68720913,7.63073635,7.84512997,7.76159906,8.66916943,9.43778801,7.97343826,9.26661205,8.77923775,,,,,,,,,,
American Samoa,ASM,Military expenditure (% of general government expenditure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,Military expenditure (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,Arms imports (SIPRI trend indicator values),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,Arms exports (SIPRI trend indicator values),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,"Government expenditure on education, total (% of government expenditure)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,"Net ODA provided, total (constant 2021 US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,Domestic general government health expenditure (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,Domestic general government health expenditure (% of general government expenditure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,Military expenditure (% of general government expenditure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,Military expenditure (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,Arms imports (SIPRI trend indicator values),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,Arms exports (SIPRI trend indicator values),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,"Government expenditure on education, total (% of government expenditure)",12.76951504,6.961249828,10.26473522,8.991868973,10.89523983,13.46191978,9.392439842,9.990980148,10.44281006,13.31521034,6.195529938,9.84161377,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,"Net ODA provided, total (constant 2021 US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,Domestic general government health expenditure (% of GDP),,,6.16798115,6.38065815,5.22278023,5.21783257,5.08705902,4.9677825,4.9751277,4.81181049,4.77014637,4.66185188,5.60750246,5.67572212,4.12123442,3.69273424,2.93960619,2.97666311,3.59525061,3.2834096,3.55367517,3.97611761,3.81791759,3.90049219,,,,,,,,,,
Andorra,AND,Domestic general government health expenditure (% of general government expenditure),,,15.73322201,14.68181801,14.58870125,14.53987694,14.12062359,11.50931263,15.76174259,21.6660099,11.19491005,15.34170341,23.7666111,24.47286415,16.81899452,24.75173569,21.76662064,23.40241241,18.84075546,27.77786064,30.2558136,30.31304932,18.39809036,30.57007408,,,,,,,,,,
Angola,AGO,Military expenditure (% of general government expenditure),5.528156216,5.841265228,6.679816568,7.462364417,8.523622861,9.503912687,10.41408368,12.39997368,11.47984344,12.8877331,12.02508238,8.69861523,8.704535907,10.60447655,10.46414628,6.784488352,8.167263888,12.29091474,13.91893868,11.64700144,10.93456472,9.19173249,10.78863067,12.88332161,27.37551734,6.233867661,13.87546419,6.032920354,,,,,,
Angola,AGO,Military expenditure (% of GDP),1.33252916,1.316819532,1.300999928,1.736993958,1.739072339,1.95578681,2.507982806,2.733334945,3.105426293,4.698454516,4.455239422,3.236659499,3.255660351,4.177584522,4.709610048,3.573120381,3.114054493,3.761495305,3.692240947,3.471180187,3.761479074,2.869932445,4.524353815,6.392603154,17.33469221,2.642011881,5.972268207,2.447848157,4.707392768,5.709280691,17.52258908,5.682830543,7.1025,17.46366667
Angola,AGO,Arms imports (SIPRI trend indicator values),15000000,46000000,,51000000,169000000,272000000,111000000,154000000,51000000,2000000,31000000,,,,20000000,29000000,35000000,7000000,38000000,8000000,48000000,148000000,157000000,149000000,360000000,150000000,7000000,44000000,1000000,113000000,123000000,,,140000000
Angola,AGO,Arms exports (SIPRI trend indicator values),,,,,,,,,,,,,,,,,,,,,,2000000,,,,,,,,,,,,
Angola,AGO,"Government expenditure on education, total (% of government expenditure)",7.73896265,6.640471935,6.919610023,5.294735909,6.045355797,5.777524471,6.763776779,6.550973892,8.918776512,7.130000114,8.826971054,8.370432854,8.960000038,8.68476963,11.46000004,,,7.454790115,7.992350101,,,,,5.255080223,,6.114679813,,,,,,,,
Angola,AGO,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Net ODA provided, total (constant 2021 US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Domestic general government health expenditure (% of GDP),,,1.71114159,1.70036924,1.12356877,1.10391033,1.29295039,1.19753695,1.23424065,1.31816018,1.69516695,1.56333566,1.71321774,1.67409563,2.60045791,2.1384356,1.72198772,1.44411969,1.27875817,1.68663394,1.46559668,1.30862689,2.04631472,1.11098742,,,,,,,,,,
Angola,AGO,Domestic general government health expenditure (% of general government expenditure),,,8.77736568,7.30502176,5.5068841,5.36431932,5.36431932,5.43269682,4.56262541,3.61568022,4.57540083,4.20151329,4.58056879,4.24956799,5.77788925,4.0603714,4.51627111,4.7187376,4.8206377,5.65923882,4.26046801,4.19123077,5.96825457,2.73858261,,,,,,,,,,
Antigua and Barbuda,ATG,Military expenditure (% of general government expenditure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Military expenditure (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Arms imports (SIPRI trend indicator values),0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Arms exports (SIPRI trend indicator values),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Government expenditure on education, total (% of government expenditure)",9.803515434,9.168038368,6.859994888,7.378756523,7.130540371,7.587625504,7.172854424,6.483569622,7.63021183,10.31662369,10.73023415,10.14325619,,,6.928140163,,,,,,,11.70153999,,,12.43941021,,,,,,,,,
Antigua and Barbuda,ATG,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Net ODA provided, total (constant 2021 US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Domestic general government health expenditure (% of GDP),,,3.92719984,3.68809605,2.55713224,2.91282296,2.73786783,2.86057758,3.15658259,3.47427654,3.08960581,3.08453822,3.09945083,3.13688278,2.29312468,2.13222933,2.2822845,2.45206785,2.77609158,2.96937299,3.34376001,3.09016109,3.21292543,2.72769094,,,,,,,,,,
Antigua and Barbuda,ATG,Domestic general government health expenditure (% of general government expenditure),,,15.53669071,13.78379345,11.29999447,13.07453442,11.6073885,11.60688305,11.81753826,15.10593987,13.30073166,14.63236332,12.98978615,13.89639091,6.33139181,8.08106136,8.45184612,8.368083,11.53017235,12.12656689,12.44891071,10.65088367,12.11715889,11.86253166,,,,,,,,,,
Argentina,ARG,Military expenditure (% of general government expenditure),1.252315191,1.841400614,1.667720771,1.72816589,1.835073595,1.880140833,2.061588087,1.948953607,2.055124312,2.260062616,2.227852525,2.131435978,2.189814614,2.442821629,2.56776862,2.479514107,2.682003901,2.961427447,3.468317778,3.835481561,4.307951563,4.468856795,4.007102469,4.069803677,4.285201194,4.39388452,4.514968764,4.893382779,5.76284549,5.68143952,5.779800756,,,
Argentina,ARG,Military expenditure (% of GDP),0.4727471967,0.6863834043,0.6300553818,0.7341115939,0.6996961344,0.7323003475,0.8477548113,0.8092453627,0.8501285975,0.8781009242,0.8377364272,0.7848247354,0.7642870953,0.8148781182,0.8865085767,0.7627564754,0.792548175,0.7882338775,0.8471547839,0.8832953588,1.060895057,1.091880479,1.184233542,1.148822677,1.220359548,1.136318022,1.140139111,1.241227264,1.473073107,1.457038533,1.422802901,1.421222233,1.506926555,1.450909212
Argentina,ARG,Arms imports (SIPRI trend indicator values),22000000,45000000,77000000,7000000,49000000,17000000,45000000,17000000,21000000,6000000,13000000,5000000,16000000,11000000,15000000,21000000,24000000,9000000,3000000,161000000,11000000,15000000,6000000,208000000,276000000,171000000,105000000,21000000,43000000,209000000,,27000000,,159000000
Argentina,ARG,Arms exports (SIPRI trend indicator values),,,,,,,,,,,,,1000000,,,,,2000000,,,,2000000,,2000000,,,,,5000000,5000000,13000000,,0,6000000
Argentina,ARG,"Government expenditure on education, total (% of government expenditure)",,12.70757961,12.28489971,12.42228985,12.51445961,12.52334023,13.26391983,13.35554028,13.96331024,13.79932976,14.45792961,14.51826,15.1585598,15.04796982,16.02066994,15.74783993,15.10157013,15.50984001,15.8031702,15.13930035,14.35472012,16.44220924,16.35596085,16.22615051,15.87753963,15.62125969,,15.39877033,,,,,,
Argentina,ARG,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Net ODA provided, total (constant 2021 US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,Domestic general government health expenditure (% of GDP),,,6.1366396,6.62048721,6.08225393,6.03072071,6.59566355,6.44487762,6.82437325,6.3273077,6.22042274,6.13485479,5.68117285,5.56834269,5.66982841,4.50854683,4.25491619,4.01898909,3.91339946,3.74438357,3.77215648,4.03350496,4.59210253,4.49895144,,,,,,,,,,
Argentina,ARG,Domestic general government health expenditure (% of general government expenditure),,,16.22084427,15.74081135,16.13215828,15.48355103,16.03947067,15.52159119,16.49740791,16.28527832,16.54238701,16.66110992,16.27754211,16.69264221,16.42263222,14.65606022,14.39874649,15.09950352,16.02175713,16.25901031,17.12602234,18.4574852,17.37289238,17.81966209,,,,,,,,,,
Armenia,ARM,Military expenditure (% of general government expenditure),19.96065544,15.4734927,15.57616125,16.25714512,19.22593038,17.13070459,14.79150699,15.12268439,16.0998622,16.43712988,16.79749836,15.98840553,15.4377929,16.28077049,14.5588155,15.2706603,13.57100469,14.73773176,14.4528086,,,,,,,,,,,,,,,
Armenia,ARM,Military expenditure (% of GDP),5.450925003,4.081745959,4.465144759,4.982543724,4.787705841,4.119886153,3.849730577,4.090349217,4.239225786,3.943378265,3.997244557,3.583766919,3.853946441,4.265646056,4.157049908,3.395579363,3.042574701,2.947613156,2.871931363,2.741996705,2.728372214,2.697714749,3.127249385,3.560024873,3.697374231,3.528096003,3.90939856,3.281867004,4.059311908,,2.296644333,2.203389831,,
Armenia,ARM,Arms imports (SIPRI trend indicator values),7000000,29000000,32000000,,248000000,,18000000,110000000,,,16000000,,5000000,52000000,46000000,,1000000,,,118000000,,,,,2000000,,,68000000,47000000,181000000,2000000,,,
Armenia,ARM,Arms exports (SIPRI trend indicator values),,,,,,,,,,,,,,,,,,4000000,,,,,,,,,,,,,,,,
Armenia,ARM,"Government expenditure on education, total (% of government expenditure)",,9.702664375,9.667304039,9.572380066,10.00509262,8.988576889,8.891125679,,,,8.749751091,,,,,,,,,,,,,,,,,,,,,,,
Armenia,ARM,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,ARM,"Net ODA provided, total (constant 2021 US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,ARM,Domestic general government health expenditure (% of GDP),,,2.19,2.36,1.41,1.23,1.37,1.64,1.61,1.51,1.38,1.58,1.67,1.69,1.81,1.49,1.61,1.59,1.48,1.29,1.21,1.17,1.34,0.95,,,,,,,,,,
Armenia,ARM,Domestic general government health expenditure (% of general government expenditure),,,7.63,7.69,5.67,5.13,5.27,6.05,6.12,6.28,5.78,7.04,6.7,6.44,6.34,6.69,7.2,7.93,7.44,6.28,5.38,5.33,5.66,3.87,,,,,,,,,,
Aruba,ABW,Military expenditure (% of general government expenditure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Military expenditure (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Arms imports (SIPRI trend indicator values),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Arms exports (SIPRI trend indicator values),,,,,,,,,,,,,,,,,,,,,,,,,,,,18000000,,,,,,
Aruba,ABW,"Government expenditure on education, total (% of government expenditure)",,,,,19.40142632,20.12343979,18.52140808,21.85375023,23.20137978,19.61797905,21.87763023,20.63408089,21.75053978,22.1767807,21.56355095,19.02882957,20.79264069,,18.88828087,14.90291023,,19.75715065,21.32317924,21.80771065,19.28166008,22.08238983,,,,,,,,
Aruba,ABW,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"Net ODA provided, total (constant 2021 US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Domestic general government health expenditure (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Domestic general government health expenditure (% of general government expenditure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Military expenditure (% of general government expenditure),5.059847331,5.013207924,4.726654664,4.522401553,4.834401999,5.144462038,5.452954203,5.607469253,5.238867682,4.822670522,4.505617348,4.574848092,4.836930627,5.020280657,5.091182864,5.126110534,5.284417927,5.264887018,5.199497282,5.235224825,5.281482376,5.354593312,5.233755852,5.182884007,5.208765829,5.388234846,5.686301618,5.761081646,6.004087296,6.260891976,6.381093534,6.362019335,6.549262014,6.791905229
Australia,AUS,Military expenditure (% of GDP),1.922199063,1.908335574,1.990278202,2.010656405,1.88096043,1.89568808,2.004232965,2.08852965,1.953633592,1.773057778,1.6391802,1.670963965,1.755656947,1.852928258,1.923938334,1.796688089,1.812273234,1.822330926,1.80249268,1.827410769,1.846289689,1.873964621,1.870093879,1.829841913,1.889235741,1.871121813,1.867334395,1.930440067,2.021312568,2.116598589,2.178029886,2.16874608,2.168042858,2.07590586
Australia,AUS,Arms imports (SIPRI trend indicator values),362000000,827000000,1215000000,1650000000,1184000000,1582000000,1664000000,1029000000,1470000000,857000000,220000000,788000000,1584000000,1558000000,807000000,430000000,675000000,741000000,468000000,471000000,781000000,641000000,1217000000,326000000,678000000,542000000,35000000,597000000,64000000,262000000,448000000,364000000,213000000,352000000
Australia,AUS,Arms exports (SIPRI trend indicator values),67000000,33000000,176000000,413000000,164000000,39000000,100000000,135000000,85000000,95000000,54000000,45000000,143000000,137000000,84000000,56000000,52000000,26000000,49000000,2000000,44000000,47000000,43000000,,,4000000,20000000,16000000,36000000,36000000,30000000,,90000000,168000000
Australia,AUS,"Government expenditure on education, total (% of government expenditure)",,13.94469357,13.14539528,14.45625305,15.29336834,15.10843658,14.84958649,14.89055347,14.88242722,15.03333378,15.56298923,15.39351368,17.12748146,17.11578178,14.79484749,15.0764637,15.09505367,15.62589169,15.82420254,15.51314545,15.61610031,15.55063248,15.16472816,14.42712498,14.12623692,,,,,,,,,
Australia,AUS,"Net ODA provided, total (% of GNI)",,,,,,,0.231997,0.265827,0.291112,0.314311,0.330898,0.36093,0.343566,0.322727,0.293623,0.316008,0.322592,0.295075,0.247574,0.245141,0.2472,0.255604,0.251897,0.266644,0.25704,0.271299,0.270405,0.273747,0.342533,0.341548,0.347079,0.366095,0.375278,0.340148
Australia,AUS,"Net ODA provided, total (constant 2021 US$)",,3121092539,3546440000,3300783816,3319700376,3476719164,3340834831,3850565148,4102006666,4258828540,4413430772,4646756379,4270089377,3862171250,3451752367,3506687310,3324552478,3069618145,2521249521,2373256239,2328362733,2321858738,2219462298,2316780940,2155342248,2193288164,2060968496,2005268819,2403312327,2291776187,2180541400,2171569364,2132899076,1978008443
Australia,AUS,Domestic general government health expenditure (% of GDP),,,8.01731968,7.87186623,7.53585672,7.18990898,7.21305084,7.17639828,7.23228073,6.89475489,5.92659712,6.17929935,6.25456142,6.09266853,6.23855972,5.96617031,5.87256861,5.71683931,5.72565842,5.79739761,5.62231302,5.66600704,5.45977974,5.45533848,,,,,,,,,,
Australia,AUS,Domestic general government health expenditure (% of general government expenditure),,,19.3241291,17.05628586,17.10577965,18.49000168,18.54355621,18.483284,18.30729294,17.63870811,15.40296459,16.18693733,16.32258987,16.11460304,15.88237,15.61295509,16.49022293,15.93996811,15.90276814,15.94705105,15.48101234,15.51416302,14.70855331,14.60132885,,,,,,,,,,
Austria,AUT,Military expenditure (% of general government expenditure),1.632577151,1.455601793,1.558656617,1.557030416,1.541676797,1.528019547,1.536100082,1.457396724,1.368117856,1.4291943,1.453736857,1.520040688,1.554067325,1.554324604,1.539275409,1.745914732,1.828642124,1.559829535,1.661921982,1.657907677,1.823184374,1.68193442,1.765043486,1.931590281,1.944474241,1.83072183,1.946116889,1.86221023,1.90122555,2.026279164,2.057513723,2.239021067,2.411183789,2.545085487
Austria,AUT,Military expenditure (% of GDP),0.8442748407,0.7685285662,0.8736941369,0.8841271451,0.7503596575,0.7450280396,0.7572790337,0.7297376918,0.6981164131,0.7477800954,0.7508253831,0.7784642506,0.7908975585,0.8212327115,0.8333795647,0.8707051231,0.9004571728,0.7858132445,0.850142574,0.8934804662,0.9136403188,0.8835278366,0.9082400407,0.9803185801,0.9802461234,1.018072863,1.046433982,1.049682977,1.073232052,1.094453076,1.115584541,1.099214072,1.154217118,1.195660267
Austria,AUT,Arms imports (SIPRI trend indicator values),8000000,4000000,34000000,13000000,17000000,6000000,10000000,13000000,1000000,2000000,6000000,8000000,8000000,7000000,286000000,190000000,269000000,5000000,26000000,56000000,41000000,81000000,15000000,25000000,48000000,247000000,190000000,9000000,22000000,38000000,8000000,5000000,6000000,5000000
Austria,AUT,Arms exports (SIPRI trend indicator values),10000000,3000000,3000000,10000000,3000000,8000000,22000000,17000000,10000000,16000000,28000000,23000000,52000000,65000000,44000000,14000000,67000000,62000000,3000000,3000000,2000000,83000000,17000000,23000000,23000000,29000000,3000000,18000000,,17000000,10000000,20000000,20000000,30000000
Austria,AUT,"Government expenditure on education, total (% of government expenditure)",,8.977280617,8.811378479,8.949609756,9.881762505,9.811909676,9.819505692,9.778713226,9.650598526,9.422001839,9.733651161,9.770256996,9.803499222,9.693655014,9.458568573,9.722205162,9.526359558,9.533905029,9.399205208,9.150461197,10.26278591,10.1529274,10.10911369,10.2170248,10.33584023,10.23663616,10.37141228,9.884145737,9.900216103,,,,,
Austria,AUT,"Net ODA provided, total (% of GNI)",,,,,,,0.300043,0.423711,0.353749,0.284369,0.273521,0.280216,0.267127,0.322422,0.302039,0.428275,0.498059,0.468866,0.521781,0.232908,0.201613,0.255124,0.341561,0.234436,0.238134,0.218973,0.242969,0.229035,0.267603,0.165075,0.113609,0.111489,0.181118,0.106425
Austria,AUT,"Net ODA provided, total (constant 2021 US$)",,1979061033,1492150000,1397869238,1355169288,1239609258,1418508717,1908630149,1568195868,1250712208,1211580371,1200265872,1137767643,1322424786,1198784706,1769649036,2005757344,1851994582,2000508634,883761018,736224097,921341709,1193591315,821077686,805839827,721982370,770513597,720298307,816156218,490906445,326666077,314115290,497454280,286945011
Austria,AUT,Domestic general government health expenditure (% of GDP),,,9.47,8.74,7.85,7.71,7.66,7.49,7.51,7.52,7.42,7.43,7.29,7.4,7.45,7.18,6.94,6.94,6.99,7,6.98,6.9,6.83,6.83,,,,,,,,,,
Austria,AUT,Domestic general government health expenditure (% of general government expenditure),,,16.89,15.39,16.13,15.81,15.55,14.96,14.69,14.34,14.37,14.51,14.32,14,13.76,14.39,14.09,13.78,13.67,13.03,13.62,13.51,13.29,13.38,,,,,,,,,,
Azerbaijan,AZE,Military expenditure (% of general government expenditure),14.7062081,14.49764776,15.27319862,13.05535537,11.83569256,10.6960906,10.55995204,10.41203401,14.12116892,12.52259387,12.01947136,12.71589549,13.84348321,8.733328421,9.636955637,10.46834139,10.98742053,13.50832806,10.2201278,10.85672798,11.20155039,9.693513899,13.77802691,12.42740999,13.46467391,13.38709677,11.50470219,11.40740741,14.67336683,8.023255814,,,,
